loopCnt,thighDeg_RH,incPosDeg_RH,MotorRefCurrent_RH,MotorActCurrent_RH,FvectorRefCurrent_RH,accX_Global_RH,accY_Global_RH,gyroZ_Global_RH,thighDeg_LH,incPosDeg_LH,MotorRefCurrent_LH,MotorActCurrent_LH,FvectorRefCurrent_LH,accX_Global_LH,accY_Global_LH,gyroZ_Global_LH,u_RH,u_LH,EMG_Raw,EMG_Processed,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode
312,-27.038,-15.568,0.000,-0.005,0.000,0.016,9.710,0.168,-24.467,-11.459,0.000,-0.005,0.000,0.047,10.119,0.076,0.000,0.000,-0.069,0.000,0.000,0.000,0
313,-27.038,-15.568,0.000,-0.005,0.000,-0.020,9.688,0.107,-24.467,-11.459,0.000,-0.027,0.000,0.016,10.141,0.137,0.000,0.000,-0.068,0.000,0.000,0.000,0
314,-27.038,-15.568,0.000,0.005,0.000,-0.116,9.693,0.015,-24.467,-11.459,0.000,0.000,0.000,-0.049,10.105,0.076,0.000,0.000,-0.068,0.000,0.000,0.000,0
315,-27.016,-15.568,0.000,0.000,0.000,-0.023,9.612,0.137,-24.467,-11.459,0.000,0.000,0.000,0.006,10.074,0.000,0.000,0.000,-0.066,0.000,0.000,0.000,0
316,-27.016,-15.568,0.000,0.000,0.000,0.023,9.597,0.137,-24.467,-11.459,0.000,0.016,0.000,0.056,10.074,-0.015,0.000,0.000,-0.067,0.000,0.000,0.000,0
317,-27.016,-15.568,0.000,0.000,0.000,-0.030,9.700,0.046,-24.467,-11.459,0.000,0.005,0.000,-0.018,10.088,-0.046,0.000,0.000,-0.068,0.000,0.000,0.000,0
318,-27.016,-15.568,0.000,0.000,0.000,0.000,9.674,0.000,-24.467,-11.459,0.000,0.000,0.000,-0.011,10.110,0.000,0.000,0.000,-0.067,0.000,0.000,0.000,0
319,-27.016,-15.568,0.000,0.000,0.000,-0.020,9.628,-0.107,-24.467,-11.459,0.000,0.000,0.000,0.018,10.141,0.000,0.000,0.000,-0.063,0.000,0.000,0.000,0
320,-27.016,-15.568,0.000,0.000,0.000,-0.054,9.669,-0.076,-24.489,-11.459,0.000,0.005,0.000,0.095,10.114,0.076,0.000,0.000,-0.063,0.000,0.000,0.000,0
321,-27.016,-15.568,0.000,0.000,0.000,-0.006,9.693,0.076,-24.489,-11.459,0.000,-0.005,0.000,0.078,10.095,0.137,0.000,0.000,-0.065,0.000,0.000,0.000,0
322,-27.016,-15.568,0.000,0.005,0.000,0.023,9.648,0.137,-24.489,-11.459,0.000,-0.016,0.000,-0.020,10.055,0.046,0.000,0.000,-0.066,0.000,0.000,0.000,0
323,-27.016,-15.568,0.000,0.000,0.000,-0.056,9.657,0.000,-24.489,-11.459,0.000,-0.005,0.000,-0.078,10.055,-0.015,0.000,0.000,-0.065,0.000,0.000,0.000,0
324,-26.994,-15.568,0.000,0.000,0.000,-0.095,9.727,0.015,-24.489,-11.459,0.000,0.000,0.000,-0.078,10.098,0.046,0.000,0.000,-0.064,0.000,0.000,0.000,0
325,-26.994,-15.568,0.000,-0.016,0.000,0.078,9.571,0.137,-24.467,-11.459,0.000,0.000,0.000,-0.006,10.076,0.137,0.000,0.000,-0.063,0.000,0.000,0.000,0
326,-26.994,-15.568,0.000,0.005,0.000,-0.049,9.693,0.076,-24.467,-11.459,0.000,0.005,0.000,0.083,10.062,0.168,0.000,0.000,-0.064,0.000,0.000,0.000,0
327,-26.994,-15.568,0.000,0.005,0.000,-0.087,9.719,-0.168,-24.489,-11.459,0.000,0.016,0.000,0.090,10.081,0.076,0.000,0.000,-0.064,0.000,0.000,0.000,0
328,-26.994,-15.568,0.000,-0.016,0.000,-0.008,9.609,-0.198,-24.489,-11.459,0.000,0.016,0.000,-0.035,10.129,0.000,0.000,0.000,-0.064,0.000,0.000,0.000,0
329,-26.994,-15.568,0.000,0.000,0.000,0.001,9.604,0.015,-24.489,-11.459,0.000,0.000,0.000,0.001,10.141,-0.046,0.000,0.000,-0.063,0.000,0.000,0.000,0
330,-26.994,-15.568,0.000,0.000,0.000,-0.035,9.686,0.046,-24.489,-11.459,0.000,0.000,0.000,0.020,10.098,0.076,0.000,0.000,-0.063,0.000,0.000,0.000,0
